ID segnalazione,Validità temporale,Categoria evento,Codice evento,Descrizione evento,Coord. Inizio,Coord. Fine,Coord. Media,Numero di Coord,Elenco coordinate,Tipo di rappresentazione,Data Inizio evento,Ora Inizio evento,Data Fine evento,Ora Fine evento,Località Inizio segnalazione,Origine,Località Fine segnalazione,Destinazione,Numero della strada,Lunghezza (m),Ritardo (s),Validità temporale,Probabilità,Numero segnalazioni,Ultimo aggiornamento
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43359263356030000,present,⛔,401,⛔Strada chiusa,"44.8136964643,10.2911169432","44.811279783,10.2902398608","44.8124506154,10.290664991",4,"[[10.2911169432,44.8136964643],[10.2910472058,44.8135167717],[10.290664991,44.8124506154],[10.2902398608,44.811279783]]",LineString,24/10/2024,13:04:00,,,Parma,,Parma,,,03/10/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43382346860019000,present,🚗🚙🚚,108,🚗🚙🚚Code ,"44.7900501179,10.3051113687","44.7873786683,10.2993674181","44.7889638377,10.3027724825",54,"[[10.3051113687,44.7900501179],[10.3041766189,44.7896128957],[10.3041404091,44.7896048651],[10.3041189514,44.7895995113],[10.3040814005,44.7895901125],[10.3040036164,44.7895794049],[10.303986182,44.7895954662],[10.3039660655,44.789611587],[10.3039405845,44.7896209858],[10.3039177857,44.7896276483],[10.3038802348,44.7896343702],[10.3038265906,44.7896303252],[10.3037876986,44.7896196177],[10.3037581943,44.7896021882],[10.3037273489,44.7895807136],[10.3037179611,44.7895606073],[10.3037072323,44.7895364558],[10.3037045501,44.7895136726],[10.3037099145,44.7894935662],[10.3037233256,44.7894653697],[10.3037394188,44.7894479401],[10.3037608765,44.7894305106],[10.303664317,44.789384944],[10.3035677574,44.789336641],[10.303447058,44.7892789985],[10.3031681083,44.789147533],[10.3029495083,44.7890456322],[10.3027724825,44.7889638377],[10.3022212885,44.7887036414],[10.3020201228,44.7886084023],[10.3018498026,44.7885279755],[10.3017465375,44.788478363],[10.3013602994,44.788287884],[10.3011644982,44.7881966895],[10.3011470638,44.7882087655],[10.3011162184,44.7882208415],[10.3010813497,44.7882261954],[10.301046481,44.7882248866],[10.3010129533,44.7882154876],[10.3009847902,44.7882007346],[10.3009646736,44.7881792596],[10.3009552859,44.7881564758],[10.3009552859,44.788131015],[10.3009633325,44.7881095399],[10.3009163938,44.788089433],[10.3008372687,44.7880545732],[10.300776919,44.7880277442],[10.3007299803,44.7880076372],[10.3006884061,44.7879902073],[10.3006401263,44.7879700409],[10.300354471,44.7878373232],[10.3002914391,44.7878078171],[10.2996410034,44.7875060332],[10.2993674181,44.7873786683]]",LineString,7/5/2025,12:15:30,07/05/2025,12:38:06,Parma,,Parma,,,22/07/1901,149,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43437169664028000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.7249851093,10.3063062928","44.7203140153,10.3044703208","44.7219354487,10.3050845466",16,"[[10.3063062928,44.7249851093],[10.306270083,44.7248938743],[10.3057229124,44.7235809561],[10.3056035541,44.7232215451],[10.3054721258,44.7229023314],[10.3053339921,44.7225455962],[10.3052521847,44.7223337575],[10.3051770828,44.7221700987],[10.3050845466,44.7219354487],[10.3049718939,44.7216376682],[10.3049236141,44.7215009269],[10.3048015736,44.7211602633],[10.3047237895,44.7209456799],[10.3046366177,44.7207257357],[10.304588338,44.7206077527],[10.3044703208,44.7203140153]]",LineString,7/5/2025,12:11:30,07/05/2025,12:39:06,Parma,,,,SP665,22/06/1901,260,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTL43356378272010000,present,🚗🚙🚚,101,🚙🚚Traffico stazionario,"44.834857751,10.3360358976","44.8351702241,10.3383721016","44.8351662417,10.3376143776",11,"[[10.3360358976,44.834857751],[10.3362813197,44.8348966245],[10.3367413185,44.8349891718],[10.3371423088,44.8350790442],[10.337363591,44.835128676],[10.3376143776,44.8351662417],[10.337786039,44.835190374],[10.3379550181,44.8352024402],[10.3380421899,44.8351970906],[10.3382151924,44.8351621998],[10.3383721016,44.8351702241]]",LineString,07/05/2025,12:02:00,07/05/2025,12:38:06,,,,,,07/07/1900,78,present,Certo (verificato),, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43379461700005000,present,🚧,701,🚧Lavori stradali,"44.8120925299,10.3406036995","44.8123687946,10.339364519","44.812226619,10.3400297068",5,"[[10.3406036995,44.8120925299],[10.3401115142,44.8122105045],[10.3400297068,44.812226619],[10.3394852184,44.8123312142],[10.339364519,44.8123687946]]",LineString,06/05/2025,18:15:30,,,Parma,,Parma,,,11/04/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43350607564010000,present,🚧,703,👷‍♂️🚧Lavori di manutenzione,"44.8420997126,10.3406653903","44.8425650643,10.3405862652","44.8423733375,10.3409657977",15,"[[10.3406653903,44.8420997126],[10.3407579265,44.8421144518],[10.3408357106,44.8421359068],[10.3408974014,44.8421788762],[10.3409416579,44.8422338508],[10.3409657977,44.8422753937],[10.3409725033,44.8423143216],[10.3409657977,44.8423733375],[10.3409416579,44.8424256375],[10.3409041069,44.842473896],[10.3408450983,44.8425141313],[10.3407887719,44.8425396275],[10.34072574,44.8425584079],[10.3406653903,44.8425650643],[10.3405862652,44.8425650643]]",LineString,07/05/2025,09:56:00,,,Parma,,Parma,,SP343R,24/03/1900,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43350607444010000,present,🚧,703,👷‍♂️🚧Lavori di manutenzione,"44.8462853053,10.3409805499","44.8509872192,10.3418401979","44.8478477004,10.3414982162",31,"[[10.3409805499,44.8462853053],[10.3409979842,44.8463671373],[10.3410140775,44.8464502766],[10.3410677217,44.8467064091],[10.3410905205,44.8468539671],[10.3411025904,44.8469532105],[10.341110637,44.847112772],[10.3411280714,44.8472884378],[10.3411522113,44.8474118671],[10.3411696456,44.847536544],[10.3412085377,44.8476022697],[10.3412930272,44.8477028786],[10.3413453303,44.8477189831],[10.3414164089,44.8477538069],[10.341456642,44.8477940385],[10.3414982162,44.8478477004],[10.3415129684,44.8479214483],[10.3415008984,44.848003278],[10.3414606653,44.8480690031],[10.3413989745,44.8481239721],[10.3413386248,44.8481574883],[10.3412501119,44.8481842894],[10.3413064383,44.848600031],[10.3414941929,44.8497627964],[10.3415250383,44.8499304318],[10.3415666126,44.8500913519],[10.3416148923,44.8502965422],[10.3416685365,44.8504655428],[10.3417020641,44.8505714948],[10.3417664371,44.8507552316],[10.3418401979,44.8509872192]]",LineString,07/05/2025,09:56:00,,,,,Parma,,SP343R,29/06/1901,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43344836716058000,present,🚧,703,👷‍♂️🚧Lavori di manutenzione,"44.8533690201,10.34253489","44.8472884378,10.3410274885","44.8499304318,10.3415250383",42,"[[10.34253489,44.8533690201],[10.3424986802,44.853232234],[10.3424584471,44.8530417905],[10.342419555,44.8528768381],[10.3423820041,44.8527521132],[10.3423471354,44.8525925079],[10.34230422,44.8524315948],[10.3422747157,44.8523283202],[10.3421929084,44.852065498],[10.3421647452,44.8519702447],[10.3421459697,44.8519165867],[10.3421285353,44.8518723767],[10.3419997893,44.8514820914],[10.3419555329,44.8513385861],[10.3419139586,44.8512138579],[10.3418401979,44.8509872192],[10.3417664371,44.8507552316],[10.3417020641,44.8505714948],[10.3416685365,44.8504655428],[10.3416148923,44.8502965422],[10.3415666126,44.8500913519],[10.3415250383,44.8499304318],[10.3414941929,44.8497627964],[10.3413064383,44.848600031],[10.3412501119,44.8481842894],[10.3411911033,44.8481896971],[10.3411280714,44.8481870229],[10.3410234652,44.8481628366],[10.3409403168,44.8481293204],[10.3408813082,44.8480796998],[10.3408437572,44.8480099931],[10.3408370517,44.8479361859],[10.3408464394,44.8478879319],[10.3408732615,44.8478235734],[10.3409255646,44.8477766266],[10.3409859143,44.8476666285],[10.3410167597,44.847591573],[10.3410368763,44.8475124169],[10.3410435818,44.8474453837],[10.3410368763,44.8473635532],[10.3410274885,44.8473032351],[10.3410274885,44.8472884378]]",LineString,07/05/2025,09:56:00,,,Parma,,Parma,,SP343R,10/12/1901,46,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43344836644018000,present,🚧,703,👷‍♂️🚧Lavori di manutenzione,"44.8527521132,10.3423820041","44.8568760296,10.3433905147","44.8539524075,10.3426582716",18,"[[10.3423820041,44.8527521132],[10.342419555,44.8528768381],[10.3424584471,44.8530417905],[10.3424986802,44.853232234],[10.34253489,44.8533690201],[10.3425523244,44.853466945],[10.3425791465,44.8535889943],[10.3425979219,44.8536654087],[10.3426180385,44.8537619665],[10.3426582716,44.8539524075],[10.3427186213,44.8542071995],[10.3427239857,44.8542286499],[10.3427896999,44.8544928883],[10.3428983293,44.8549850565],[10.3430471919,44.8556113276],[10.3431370459,44.8559908896],[10.3431611858,44.8560766889],[10.3433905147,44.8568760296]]",LineString,07/05/2025,10:16:00,,,Parma,,Parma,,SP343R,09/04/1901,,present,Probabile,, - 
TTI-bbc368dd-2067-4496-b47d-421540108280-TTR43373690756015000,present,🚗⚠️,393,🚗⚠️Veicolo in panne,"44.814179289,10.343394538","44.8142932754,10.3427601956","44.8142262036,10.3431491159",5,"[[10.343394538,44.814179289],[10.343279203,44.8142034301],[10.3431491159,44.8142262036],[10.342970749,44.8142597395],[10.3427601956,44.8142932754]]",LineString,07/05/2025,11:55:30,07/05/2025,12:25:20,,,,,,19/02/1900,,present,Probabile,1,07/05/2025 - 11:55:20
